"ENSEMBL","ENTREZID"
"ENSG00000111671","105369632"
"ENSG00000111678","113246"
"ENSG00000111799","1303"
"ENSG00000111817","29940"
"ENSG00000112077","6005"
"ENSG00000112175","653"
"ENSG00000112182","60468"
"ENSG00000112303","8875"
"ENSG00000112561","7942"
"ENSG00000112773","55603"
"ENSG00000112964","2690"
"ENSG00000113494","5618"
"ENSG00000113532","7903"
"ENSG00000113758","1627"
"ENSG00000113763","90249"
"ENSG00000114013","942"
"ENSG00000114405","57415"
"ENSG00000114626","80325"
"ENSG00000114698","57088"
"ENSG00000114737","1154"
"ENSG00000114854","7134"
"ENSG00000114923","6508"
"ENSG00000114948","8745"
"ENSG00000115041","30818"
"ENSG00000115112","29842"
"ENSG00000115155","9381"
"ENSG00000115194","7781"
"ENSG00000115252","5136"
"ENSG00000115255","92840"
"ENSG00000115361","33"
"ENSG00000115541","3336"
"ENSG00000115594","3554"
"ENSG00000115602","9173"
"ENSG00000115844","1746"
"ENSG00000116035","25806"
"ENSG00000116106","2043"
"ENSG00000116299","57535"
"ENSG00000116574","58480"
"ENSG00000116661","26232"
"ENSG00000116711","5321"
"ENSG00000116774","56944"
"ENSG00000116981","84618"
"ENSG00000117322","1380"
"ENSG00000117519","1266"
"ENSG00000117984","1509"
"ENSG00000118257","8828"
"ENSG00000118298","23632"
"ENSG00000118507","9465"
"ENSG00000118523","1490"
"ENSG00000118777","9429"
"ENSG00000118785","6696"
"ENSG00000118939","7347"
"ENSG00000118946","27253"
"ENSG00000119121","140803"
"ENSG00000119227","80235"
"ENSG00000119514","79695"
"ENSG00000119574","84878"
"ENSG00000119698","57718"
"ENSG00000120162","79817"
"ENSG00000120658","55068"
"ENSG00000120662","9617"
"ENSG00000120690","1997"
"ENSG00000120699","11340"
"ENSG00000120784","22835"
"ENSG00000120820","83468"
"ENSG00000120875","1846"
"ENSG00000120899","2185"
"ENSG00000121270","85320"
"ENSG00000121316","79887"
"ENSG00000121440","23024"
"ENSG00000121753","576"
"ENSG00000121858","8743"
"ENSG00000121966","7852"
"ENSG00000122034","2971"
"ENSG00000122085","130916"
"ENSG00000122547","80820"
"ENSG00000122641","3624"
"ENSG00000122694","152007"
"ENSG00000122862","5552"
"ENSG00000123080","1031"
"ENSG00000123119","64168"
"ENSG00000123570","51209"
"ENSG00000123612","130399"
"ENSG00000124074","84080"
"ENSG00000124126","57580"
"ENSG00000124191","84969"
"ENSG00000124249","60598"
"ENSG00000124490","7180"
"ENSG00000125245","2841"
"ENSG00000125257","10257"
"ENSG00000125266","1948"
"ENSG00000125285","11166"
"ENSG00000125430","9953"
"ENSG00000125534","79144"
"ENSG00000125652","84266"
"ENSG00000125744","6253"
