"ENSEMBL","ENTREZID"
"ENSG00000198732","64093"
"ENSG00000198753","5365"
"ENSG00000198794","192683"
"ENSG00000198816","140467"
"ENSG00000198832","140606"
"ENSG00000198848","1066"
"ENSG00000198910","3897"
"ENSG00000198934","57692"
"ENSG00000199347","26829"
"ENSG00000200169","26830"
"ENSG00000200463","727676"
"ENSG00000203326","170958"
"ENSG00000203506","100873978"
"ENSG00000203697","388743"
"ENSG00000203867","282996"
"ENSG00000203930","286411"
"ENSG00000203972","389396"
"ENSG00000204103","9935"
"ENSG00000204287","3122"
"ENSG00000204520","100507436"
"ENSG00000204580","780"
"ENSG00000204616","11074"
"ENSG00000204677","653316"
"ENSG00000204889","125115"
"ENSG00000204899","440145"
"ENSG00000204941","5673"
"ENSG00000205002","441376"
"ENSG00000205363","388135"
"ENSG00000205426","3887"
"ENSG00000205592","283463"
"ENSG00000205746","353512"
"ENSG00000206075","5268"
"ENSG00000206552","100506275"
"ENSG00000207051","619499"
"ENSG00000212123","163154"
"ENSG00000212747","441518"
"ENSG00000212864","727800"
"ENSG00000212901","83896"
"ENSG00000212916","54627"
"ENSG00000213023","84258"
"ENSG00000213190","10962"
"ENSG00000213213","84960"
"ENSG00000213689","11277"
"ENSG00000213793","388559"
"ENSG00000213886","10537"
"ENSG00000214049","652995"
"ENSG00000214049","124900418"
"ENSG00000214336","344167"
"ENSG00000215417","407975"
"ENSG00000215440","79716"
"ENSG00000215440","124904942"
"ENSG00000215915","219293"
"ENSG00000218186","100289319"
"ENSG00000219438","25817"
"ENSG00000223764","100130417"
"ENSG00000223776","100287902"
"ENSG00000223930","105374235"
"ENSG00000223949","101927034"
"ENSG00000224051","80772"
"ENSG00000224189","401022"
"ENSG00000225140","101930421"
"ENSG00000225614","84627"
"ENSG00000225663","348262"
"ENSG00000226318","100271594"
"ENSG00000226321","728763"
"ENSG00000226419","100506392"
"ENSG00000227051","56967"
"ENSG00000227351","414134"
"ENSG00000227640","100507533"
"ENSG00000228109","100507057"
"ENSG00000228594","643988"
"ENSG00000228723","101927416"
"ENSG00000229183","643847"
"ENSG00000229183","124906959"
"ENSG00000229183","128966586"
"ENSG00000229425","105369302"
"ENSG00000229781","100129955"
"ENSG00000229852","122539212"
"ENSG00000230513","439931"
"ENSG00000231187","102724593"
"ENSG00000231274","100130827"
"ENSG00000231574","102724550"
"ENSG00000232677","100506930"
"ENSG00000232859","201229"
"ENSG00000233124","103625683"
"ENSG00000234432","100129484"
"ENSG00000234745","3106"
"ENSG00000235123","100506492"
"ENSG00000235343","101929350"
"ENSG00000235531","100132891"
"ENSG00000235784","100421424"
"ENSG00000235831","100507582"
"ENSG00000235947","100126791"
"ENSG00000236008","101929567"
"ENSG00000236345","112935969"
"ENSG00000236432","654841"
"ENSG00000237016","100129456"
"ENSG00000237232","150142"
"ENSG00000238145","100533627"
"ENSG00000238198","100996251"
"ENSG00000239039","692084"
"ENSG00000239282","652968"
"ENSG00000240032","109729161"
"ENSG00000240204","100287482"
"ENSG00000240364","100271480"
"ENSG00000240541","100874091"
"ENSG00000240747","100506243"
"ENSG00000240859","100507642"
"ENSG00000240972","4282"
"ENSG00000241472","100506994"
"ENSG00000242732","340526"
"ENSG00000243566","105375355"
"ENSG00000244137","107985359"
"ENSG00000244165","5032"
"ENSG00000244257","339044"
"ENSG00000244486","91179"
"ENSG00000246705","55766"
"ENSG00000248323","100505994"
"ENSG00000248771","100505989"
"ENSG00000248801","286189"
"ENSG00000249173","100506229"
"ENSG00000249917","100859921"
"ENSG00000250251","353511"
"ENSG00000250722","6414"
"ENSG00000251602","100507437"
"ENSG00000251791","677772"
"ENSG00000253327","644660"
"ENSG00000253671","101930275"
"ENSG00000254087","4067"
"ENSG00000254090","100873237"
"ENSG00000254254","101929415"
"ENSG00000254278","101927513"
"ENSG00000254959","100526825"
"ENSG00000255052","105369250"
"ENSG00000255303","81210"
"ENSG00000255571","254559"
"ENSG00000255690","9865"
"ENSG00000256235","85027"
"ENSG00000256315","105369507"
"ENSG00000256546","100506691"
"ENSG00000256751","101928290"
"ENSG00000256813","127138859"
"ENSG00000258710","348120"
"ENSG00000258710","124905510"
"ENSG00000258742","105370629"
"ENSG00000258947","10381"
"ENSG00000259110","105370648"
"ENSG00000259172","120766138"
"ENSG00000259256","105371964"
"ENSG00000260231","100134229"
"ENSG00000260260","100507303"
"ENSG00000261115","100507421"
"ENSG00000261221","100507290"
"ENSG00000261286","105371374"
"ENSG00000261423","105370888"
"ENSG00000263155","100820829"
"ENSG00000263429","100289255"
"ENSG00000264769","128385369"
"ENSG00000267056","729654"
"ENSG00000267260","728485"
"ENSG00000267690","100288122"
"ENSG00000267719","100652929"
"ENSG00000268104","11254"
"ENSG00000268686","101928295"
"ENSG00000269226","286527"
"ENSG00000269226","122394733"
"ENSG00000269586","102723631"
"ENSG00000269825","122539214"
"ENSG00000270141","7012"
"ENSG00000270470","100421651"
"ENSG00000271639","100422710"
"ENSG00000272808","105369201"
"ENSG00000273542","8362"
"ENSG00000274286","151"
"ENSG00000274349","26149"
"ENSG00000275183","94059"
"ENSG00000275221","8330"
"ENSG00000275291","124904624"
"ENSG00000275342","157285"
"ENSG00000275395","8857"
"ENSG00000276027","267010"
"ENSG00000276644","1602"
"ENSG00000276850","653145"
"ENSG00000277215","619455"
"ENSG00000277639","105371267"
"ENSG00000278588","8346"
"ENSG00000279192","8123"
"ENSG00000280587","731656"
"ENSG00000281103","100506776"
"ENSG00000283239","104266957"
"ENSG00000284194","9997"
"ENSG00000284976","122513141"
"ENSG00000285508","128706666"
"ENSG00000285768","105375622"
"ENSG00000287566","105376380"
"ENSG00000287927","107986954"
"ENSG00000288611","2831"
"ENSG00000288616","100506888"
