"","coefficients","stdev.unscaled","sigma","df.residual","Amean"
"1",0.318195530133858,0.414004946271809,0.543041206323169,10,2.080310077619
"2",0.312680253358174,0.400103060984935,0.500168175134956,10,2.26551912823455
"3",-0.560099476394897,0.910680838842036,0.505810746521628,10,-0.527886513836347
"4",0.131115189438041,1.07723287680084,0.470695255081071,10,-1.07935075281704
"5",-0.0383159590321855,0.858320665485747,0.522180141112878,10,-0.381677796296994
"6",0.300170660639961,0.647899875768883,0.64488170166862,10,0.367495849256985
"7",0.0353088074454395,0.425513277452584,0.689715658151741,10,1.92950509014027
"8",0.11621543555085,0.254236375095196,2.52036156110147,10,4.73599091866344
"9",0.00563741616656888,0.340684613936579,1.65570467083025,10,3.11828642465213
"10",-0.298366790679861,0.22737697362071,1.26772765125583,10,7.77593931220502
"11",-0.214553654565385,0.441744672771899,1.09258787875027,10,1.74332184438949
"12",-0.0252657776427174,0.479294550299208,0.761610156381503,10,1.35134885635506
"13",-0.149060083850882,0.550696548916074,1.04813728039077,10,0.838079801952396
"14",-0.0203547223970366,0.266072247137607,0.579798212385151,10,4.43692617241335
"15",1.1568147395611,0.577384168615999,0.765733031753995,10,0.854190124332915
"16",-0.647080708070859,0.749213764110481,1.0583053043642,10,0.0384172497884931
"17",-1.62321645479916,0.542416458678855,2.29805840005218,10,1.26345172170953
"18",-0.516643498111506,0.266607212136559,1.09450196325816,10,4.45631550195785
"19",-0.126899454121344,0.226466718192554,1.60186421766936,10,7.25760388590924
"20",0.202203301198408,0.246118313267246,0.685504207229871,10,4.99637129766636
"21",-0.199380647695788,0.456035686112314,1.20734407557534,10,1.58676830496127
"22",0.88031969489018,0.994277910594507,0.748897722898075,10,-0.784739084053905
"23",0.53739818654426,0.280916137973881,1.4779717331353,10,4.139210471482
"24",0.211902068294201,0.284926644258308,0.738365185038584,10,4.04473268596032
"25",0.0281016195876607,0.227912205435596,1.71575439523655,10,7.97971104347304
"26",-0.108851116189228,0.325871880347164,1.53528750355321,10,3.34608966881673
"27",-0.0676739731975644,0.281855939565575,1.21600476417494,10,4.10394983819386
"28",0.199422139543167,0.229792128281284,0.719857614702932,10,8.44359824296636
"29",-0.391486942424834,0.255922228704029,1.72593049965906,10,4.71752715557146
"30",0.960337018757379,0.613128819790562,1.80089176128101,10,0.645916258628399
"31",0.327058740280218,1.047488066767,0.695818149816926,10,-0.982895839248929
"32",-0.0865937249423476,0.229521302958483,1.20840129221577,10,5.95771692528863
"33",-0.105767560528908,0.893793025394859,0.688986214611739,10,-0.497583858320278
"34",0.0622191509596521,0.401538620247116,1.56756475240058,10,2.24301600736214
"35",0.214045966276935,0.231607490317236,1.00266336483448,10,5.76128151094273
"36",0.250982477592251,0.254234400676522,0.817300491810814,10,4.74112412858496
"37",0.219442878030059,0.228755243705881,0.947943265293565,10,6.04625241042585
"38",0.442477789400094,0.493634487571626,0.60479401379051,10,1.24646927114738
"39",-0.390526182977314,0.257633921259786,0.837405006792698,10,4.66851956098007
"40",0.234985127109718,0.226306235613825,1.23004061213546,10,6.72054237600623
"41",-0.0103866713505565,0.34021534750339,8.21384474908083,10,3.12626576790447
"42",-0.0063358954533097,0.226635752740214,0.632630283613602,10,6.47914477896341
"43",-0.210260530242195,0.226396109015807,0.885408474499886,10,7.16054110438091
"44",-0.21784092297611,0.305294080351422,0.91928442369897,10,3.68368086839474
"45",-0.171191129315916,0.245228141344035,1.62782474183409,10,5.03618389689082
"46",0.124455278059469,0.487408773476555,1.07441892277107,10,1.27955327782508
"47",0.556428171661993,0.408031293400528,1.88823270665849,10,2.16494851074875
"48",0.244113167342123,0.238031772313247,0.717376681586197,10,5.34974544537926
"49",-0.161826667771205,0.23191469981191,0.770679397486036,10,5.74254155765301
"50",-0.139527148879274,0.226277436190975,0.343222149526395,10,6.86529402130264
