"","coefficients.Control","coefficients.Treatment","stdev.unscaled.Control","stdev.unscaled.Treatment","sigma","df.residual","Amean"
"1",1.91654247320766,2.23473800334152,0.299670484417508,0.285653104843095,0.543041206323169,10,2.080310077619
"2",2.10869858109376,2.42137883445193,0.289338237559032,0.276343705728478,0.500168175134956,10,2.26551912823455
"3",-0.236284412206601,-0.796383888601498,0.565030147872532,0.714199217466093,0.505810746521628,10,-0.527886513836347
"4",-1.13304790979329,-1.00193272035525,0.771946251090066,0.751351885795606,0.470695255081071,10,-1.07935075281704
"5",-0.3428455382553,-0.381161497287485,0.594729096845119,0.618879363176446,0.522180141112878,10,-0.381677796296994
"6",0.242391873023102,0.542562533663063,0.474677888223547,0.440970692283476,0.64488170166862,10,0.367495849256985
"7",1.92304816810313,1.95835697554857,0.299436717768211,0.302323008288553,0.689715658151741,10,1.92950509014027
"8",4.68911516125353,4.80533059680438,0.18028230857213,0.179260769934329,2.52036156110147,10,4.73599091866344
"9",3.13402469952579,3.13966211569236,0.238860485461795,0.242923186744434,1.65570467083025,10,3.11828642465213
"10",7.92457229404096,7.6262055033611,0.161111674277447,0.160447239129973,1.26772765125583,10,7.77593931220502
"11",1.87424968522379,1.6596960306584,0.302213949170829,0.322187965090137,1.09258787875027,10,1.74332184438949
"12",1.37323645107483,1.34797067343212,0.335171747833789,0.342612266856519,0.761610156381503,10,1.35134885635506
"13",0.927967943491597,0.778907859640715,0.377260929833806,0.401174375813069,1.04813728039077,10,0.838079801952396
"14",4.44645200176932,4.42609727937228,0.186625783918152,0.189645082914878,0.579798212385151,10,4.43692617241335
"15",0.265877598902197,1.42269233846329,0.471259480372973,0.33359703285099,0.765733031753995,10,0.854190124332915
"16",0.387937545962622,-0.259143162108237,0.444847154765818,0.602853442579,1.0583053043642,10,0.0384172497884931
"17",2.11513282664923,0.491916371850072,0.287408688886229,0.460012891339372,2.29805840005218,10,1.26345172170953
"18",4.71609772981274,4.19945423170123,0.179298427831359,0.197310616390582,1.09450196325816,10,4.45631550195785
"19",7.32116001493669,7.19426056081535,0.160198248100618,0.160074032105143,1.60186421766936,10,7.25760388590924
"20",4.89188833424069,5.0940916354391,0.175260632568121,0.172794487172874,0.685504207229871,10,4.99637129766636
"21",1.69124486537914,1.49186421768335,0.311776170758281,0.332812509313024,1.20734407557534,10,1.58676830496127
"22",-1.19273950169625,-0.312419806806066,0.788999748167954,0.605035503823604,0.748897722898075,10,-0.784739084053905
"23",3.85875659510122,4.39615478164548,0.207145325617114,0.189749020153308,1.4779717331353,10,4.139210471482
"24",3.93714838142388,4.14905044971808,0.204242982495358,0.198665539814285,0.738365185038584,10,4.04473268596032
"25",7.96620142146091,7.99430304104857,0.161207076528046,0.161109440641442,1.71575439523655,10,7.97971104347304
"26",3.39052242015394,3.28167130396471,0.226047686038159,0.23472308373441,1.53528750355321,10,3.34608966881673
"27",4.13869926772391,4.07102529452635,0.196388742620546,0.202173767933216,1.21600476417494,10,4.10394983819386
"28",8.34416740793393,8.54358954747709,0.162277982668119,0.162696891676539,0.719857614702932,10,8.44359824296636
"29",4.92200150995068,4.53051456752584,0.174580976792517,0.187130087604874,1.72593049965906,10,4.71752715557146
"30",0.171926389329141,1.13226340808652,0.499236659658513,0.35593497623973,1.80089176128101,10,0.645916258628399
"31",-1.14108279140511,-0.814024051124891,0.776854316852011,0.702658252927886,0.695818149816926,10,-0.982895839248929
"32",6.00109438690106,5.91450066195871,0.16174077084478,0.162849475155114,1.20840129221577,10,5.95771692528863
"33",-0.413962050019885,-0.519729610548792,0.611941300447757,0.65145515352233,0.688986214611739,10,-0.497583858320278
"34",2.22942211899176,2.29164126995141,0.283630673394268,0.284230372514748,1.56756475240058,10,2.24301600736214
"35",5.65440787947206,5.868453845749,0.164355694719862,0.163184665897872,1.00266336483448,10,5.76128151094273
"36",4.60943945614286,4.86042193373511,0.182065750354217,0.177446310289356,0.817300491810814,10,4.74112412858496
"37",5.93532296083005,6.15476583886011,0.162130535409993,0.161377355941303,0.947943265293565,10,6.04625241042585
"38",1.01236284277368,1.45484063217377,0.365480596761699,0.331811604243755,0.60479401379051,10,1.24646927114738
"39",4.87050024668236,4.47997406370505,0.175746335704016,0.18838381796297,0.837405006792698,10,4.66851956098007
"40",6.60293432240684,6.83791944951656,0.160045591828007,0.159999752543943,1.23004061213546,10,6.72054237600623
"41",3.09132444024373,3.08093776889317,0.236456241748916,0.24461179124243,8.21384474908083,10,3.12626576790447
"42",6.48208276631303,6.47574687085972,0.160171765878293,0.160339545451372,0.632630283613602,10,6.47914477896341
"43",7.2657301546866,7.0554696244444,0.160156906104335,0.160015510512527,0.885408474499886,10,7.16054110438091
"44",3.80193692973524,3.58409600675913,0.209234929694799,0.222317834851892,0.91928442369897,10,3.68368086839474
"45",5.12310919270603,4.95191806339011,0.170943732178075,0.175826851578706,1.62782474183409,10,5.03618389689082
"46",1.23196780848142,1.35642308654089,0.347517855910897,0.341758178080662,1.07441892277107,10,1.27955327782508
"47",1.88984682752461,2.44627499918661,0.299617531466835,0.27698171642155,1.88823270665849,10,2.16494851074875
"48",5.22567821429476,5.46979138163688,0.16942664901,0.167193705730293,0.717376681586197,10,5.34974544537926
"49",5.8227426387013,5.66091597093009,0.162923876686638,0.165046170492519,0.770679397486036,10,5.74254155765301
"50",6.93506600040689,6.79553885152761,0.159996810700727,0.160007808230587,0.343222149526395,10,6.86529402130264
"51",-0.98342094087108,-1.32176398591651,0.727824788330049,0.841479681575296,0.523077169288553,10,-1.17224494131066
"52",2.62137265478737,2.92517591222211,0.264687426427437,0.25218495445934,2.68125463836031,10,2.75329364237561
"53",-1.21865481273931,-0.0956532540053415,0.80076652301408,0.557807657470132,1.2039742868372,10,-0.697042312652776
"54",1.599254051139,1.91710194783387,0.318157032916315,0.303430990666266,0.610672327624447,10,1.7634613151207
"55",5.27217617977004,5.54925295676374,0.168800304239726,0.166246644611041,0.461759571749763,10,5.41223085791662
"56",5.54668027816941,5.54918885394559,0.165450498032961,0.166295350333673,0.301304806387831,10,5.54723463313792
"57",6.13500170880878,5.95204232826408,0.161102447397143,0.162564718588538,1.75895667516956,10,6.04324111151732
"58",1.58813724908938,1.82429486748555,0.319339695190822,0.308980355884507,0.219889336619695,10,1.70671673204922
"59",0.261471428063638,0.312072031742358,0.475766187554772,0.475266946279612,0.672391705683117,10,0.265176983367689
"60",1.4173348453689,1.363247976451,0.332476396809168,0.340845320291023,1.20851106253262,10,1.38052462537565
"61",5.83321809991841,5.63831238291908,0.162852762433311,0.16531341160802,0.435002704318451,10,5.73496622878071
"62",9.38818931816501,9.37025274528253,0.166358895091102,0.165964665001181,0.349384415324959,10,9.37894492695388
"63",-0.492304496176529,-0.302485189812208,0.623995414399821,0.597456580924105,0.3464250705091,10,-0.40003768554341
"64",-1.11693509071018,-0.39406340183285,0.764340522671483,0.625391414077804,0.673579321631283,10,-0.780059017507465
"65",5.56662183916867,5.62567606991577,0.16524253118881,0.165436153426772,0.355130000758836,10,5.59600872053642
"66",6.43807546209076,6.29808389976836,0.160238633103371,0.160809420075242,0.488114297150786,10,6.3679663072247
"67",-0.430944442195048,-0.749114486979208,0.615791968394952,0.699769764546862,0.618840614530437,10,-0.61608903718402
"68",2.75907882144144,2.44601294121534,0.256469401563913,0.275919226483881,0.494290399814737,10,2.59643574456467
"69",7.64474544551422,7.53766983537728,0.160570069299655,0.160343307026864,0.737792860200127,10,7.59135523083429
"70",4.93460337185458,4.69864880262586,0.174467839135436,0.181800490208835,0.377793419380978,10,4.81466751116742
"71",-3.65191348950269,-1.58297793366834,1.50727752270674,0.895009658014074,0.827505891302987,10,-2.60771463842099
"72",4.74446993428381,4.70163997201278,0.17864623179622,0.181622718107096,0.485343939293692,10,4.72349123830075
"73",0.737538744037958,0.938678465697355,0.403121280106267,0.380264272564021,2.01160566341938,10,0.817142960565837
"74",3.06866213853973,2.9933109776094,0.241548402714182,0.248840512797804,0.57197147397021,10,3.02771405075165
"75",-2.39068417522858,-1.47767744726905,1.11613962889451,0.861761398954846,0.944993377492082,10,-1.95496766707594
"76",-0.453058377108602,-0.525726969458353,0.620120981405905,0.65145906965582,0.675557354386288,10,-0.516748274497921
"77",7.3630144633177,7.03066139323359,0.160232678009746,0.160010387229321,2.66369206574836,10,7.19659513409633
"78",5.74636509305349,5.73277835878701,0.163537434551527,0.164343150642649,0.54179353221326,10,5.74093838657993
"79",4.7954328371574,4.82412049852474,0.177474038188956,0.178482197122056,0.285172431666052,10,4.81051839069975
"80",3.73283237447321,3.61770399036451,0.213253200810177,0.220220567556351,2.94473174882769,10,3.65843450961447
"81",6.0459979188066,6.05696539856042,0.1615028847568,0.161878560068966,0.334383951933661,10,6.05197556165734
"82",5.55753574862898,5.32579108757266,0.165333221597257,0.169122543173497,0.44839601554349,10,5.441531259643
"83",3.2799658990744,3.21022649670264,0.23177987959025,0.238205121716924,0.183261340177726,10,3.24484326429081
"84",4.90269440080987,5.1699689896292,0.17521380179189,0.171366985037374,1.55387279938088,10,5.03798081782333
"85",-1.20669728924122,-1.28465243573798,0.771993902285005,0.830281302941687,1.03556267137202,10,-1.24504676482908
"86",-4.04243850979548,-2.91766222839408,1.64177622564706,1.30843390033011,0.983804796915336,10,-3.48729638936256
"87",-3.13436289976034,-2.07739437007094,1.30670988000427,1.03302545102639,1.3874591682078,10,-2.57489943221642
"88",5.00701085510424,5.06548029367116,0.173085358689396,0.173282388454679,0.760619011619644,10,5.03851995412307
"89",4.14448915802226,4.53182097064488,0.197238231832608,0.186121657616438,2.21427036193964,10,4.33216918839316
"90",-0.0395197545942859,0.0174048031783011,0.541153177659017,0.530686831444133,1.11642292939635,10,-0.0426785175563933
"91",6.67909750522192,6.6104922550186,0.16000801884276,0.160130452348572,0.612251549874962,10,6.64485844857659
"92",2.94789969414727,2.40709271970171,0.245941604218329,0.278974607623222,2.59597178761734,10,2.67560440254515
"93",7.76780621310536,7.53604039630534,0.160781725275839,0.160341891972274,0.633376986632072,10,7.65197882500285
"94",3.08024210940555,2.81745442227026,0.241900806617609,0.257248527779742,1.90284862153617,10,2.93697334499695
"95",6.43893824512523,6.29635315954016,0.160236221380885,0.160815729460232,2.5250893873063,10,6.36780575518459
"96",2.52073468716667,2.66974911394445,0.267372953594832,0.26466840265305,1.55085437458538,10,2.59794930636733
"97",4.12789382033703,4.47570945080457,0.196751748151417,0.187957934620813,1.42616835914375,10,4.30821713596907
"98",4.32980546054303,4.15304050167036,0.190129851017298,0.198892159173516,0.728993582530366,10,4.24312029373471
"99",3.72492377928757,3.65804826340463,0.212342914532672,0.218676695208327,0.507488362536888,10,3.6877253692671
"100",5.74309887979769,6.08067856241471,0.163552431875618,0.161745551953833,1.33873399653999,10,5.91424349897804
"101",5.75555054652159,5.91813570048095,0.163487279927464,0.162779314851939,1.81488160896499,10,5.83764053129419
"102",4.16819713025491,4.28423633161615,0.195821647096063,0.193938669438571,0.768112326107901,10,4.22832344592709
"103",6.01948213703819,5.48474513270201,0.161643807227555,0.167148807971569,1.54210338151592,10,5.74774068174088
"104",5.48635666901426,5.56813223952425,0.1661310351186,0.166047341476722,0.308618914483683,10,5.52798959854022
"105",7.39966893376852,7.27964477259674,0.160267872562326,0.160120580762231,0.36234673239786,10,7.33962170497965
"106",5.32572942844041,5.61327472621788,0.16817639486199,0.165518786919886,2.23781666830905,10,5.46835279929372
"107",-0.724395600295613,-3.09980565142394,0.688253701178465,1.35010595517785,1.00526762423707,10,-1.95095717332325
"108",-0.0117137372829872,-0.665132179124035,0.488853860822636,0.687425119387268,3.48926780785507,10,-0.279740825095105
"109",8.04342243873317,7.91589821199941,0.161402891796174,0.160939584234714,0.247319421365797,10,7.97966762801876
"110",-1.00133208609636,-1.91807298471229,0.72790065630176,0.994844458957267,0.707353996821051,10,-1.46488669179683
"111",7.92594788787423,7.46830406804926,0.161116409400407,0.16026961158795,2.00192602885527,10,7.69744558286598
"112",1.37380269375545,1.11100455895037,0.3338948253374,0.361725327488698,0.622102331485494,10,1.2513840937315
"113",6.64133856182726,6.80620005146248,0.160024469109696,0.160005758278044,0.875307347509607,10,6.72383210097922
"114",11.8864745899028,11.6372376605469,0.177778562267412,0.176159829529683,0.506489803824223,10,11.7621107547698
"115",-1.79127156576445,-1.83465027555702,0.897912374176376,0.96688933664613,1.73890911904397,10,-1.76515775570544
"116",3.66622779828451,3.53496000035848,0.215485100971217,0.223674888391958,1.46781365766299,10,3.59142809888215
"117",5.90869212211223,6.01604773883199,0.162338534995772,0.162119707102399,2.48615841253438,10,5.96051050830931
"118",4.52479036042594,4.44156832031965,0.184110410796556,0.189054550059653,1.80544345735717,10,4.48944396178159
"119",-0.00518124214117524,-1.47436744519653,0.516746842815082,0.882576962340329,0.671109714149932,10,-0.761546017293326
"120",0.869665997819372,-0.510052126765151,0.397371049559754,0.630979543942211,4.61466528232557,10,0.136214765621255
"121",5.1628957880884,5.19412997464983,0.170355570387824,0.171142450559324,0.726589056938547,10,5.17953602767989
