"hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ensembl_ID"
"ST6GALNAC5",-1.02415699388575,0.516403319414935,-1.05479411194659,0.312207716720889,0.999980315117939,-4.59334763521845,"ENSG00000117069"
"GBP1",-1.45690395681168,1.64815792939241,-0.611265728351997,0.552379570391096,0.999980315117939,-4.6200361945928,"ENSG00000117228"
"RARRES1",-1.14340131927096,-0.473319882463009,-0.708907868986302,0.49186827460092,0.999980315117939,-4.60062238919089,"ENSG00000118849"
"PLXDC2",-4.52315033502597,-3.58237436196293,-1.68680449565261,0.117332191446869,0.999980315117939,-4.59202606294921,"ENSG00000120594"
"GLT8D2",-1.21403785856437,0.431846532576652,-0.94802483242385,0.361740176610919,0.999980315117939,-4.59732511426805,"ENSG00000120820"
"PDZRN3",-3.11009188762085,0.656679598243339,-1.35176289704189,0.201277611875528,0.999980315117939,-4.58477280651779,"ENSG00000121440"
"CSTA",-2.66615992741345,-0.827078842640691,-1.06238286307126,0.308887818372103,0.999980315117939,-4.59432989529217,"ENSG00000121552"
"PRXL2A",-2.35148319321344,-0.91119898364296,-2.15999944024301,0.051618159819955,0.999980315117939,-4.57599549673917,"ENSG00000122378"
"HOXA7",-1.06614641114056,-0.594840117474572,-0.688811466258949,0.503987267970005,0.999980315117939,-4.60037734425762,"ENSG00000122592"
"ADGRE5",-1.11003939178253,2.44171345053119,-0.362960687675044,0.722920565167156,0.999980315117939,-4.64526258526527,"ENSG00000123146"
"HOXC11",-1.48224703476517,0.475081369634237,-1.14019171420446,0.276360368609582,0.999980315117939,-4.59028500750064,"ENSG00000123388"
"HOXC12",-1.50214708171246,-2.7365504932373,-1.19430798995976,0.255335057178268,0.999980315117939,-4.59400251176134,"ENSG00000123407"
"PTGIS",-2.60196149270818,2.00956112574566,-1.11233042454577,0.287692885869516,0.999980315117939,-4.58818796632192,"ENSG00000124212"
"BMP4",-1.03276927436517,1.79886218667428,-1.04751867828518,0.315415381570738,0.999980315117939,-4.59307813386236,"ENSG00000125378"
"PTGER2",-2.41159822426701,-1.46002507589957,-2.01958116066293,0.066233847059666,0.999980315117939,-4.58310943856299,"ENSG00000125384"
"RHOJ",-1.08440599379515,-2.73475973486515,-0.685750974625941,0.505848378089594,0.999980315117939,-4.596677018739,"ENSG00000126785"
"PLEKHG3",-1.6066427511528,0.235640943894708,-0.605723215084744,0.555934938685626,0.999980315117939,-4.60515724998068,"ENSG00000126822"
"KDR",-1.35270607470323,-1.76260526420698,-0.972901370164356,0.349725942862218,0.999980315117939,-4.59539223961303,"ENSG00000128052"
"ADM2",-1.0973049157339,4.73843980721194,-2.36931235757949,0.0353641193705486,0.999980315117939,-4.24895984999106,"ENSG00000128165"
"POM121L9P",-1.40339219446781,-1.80793003233263,-1.43737013419108,0.176066539856132,0.999980315117939,-4.59071330161422,"ENSG00000128262"
"APOL3",-1.45044367045705,-0.207635583081065,-0.692815707048653,0.501558423943964,0.999980315117939,-4.60150305032037,"ENSG00000128284"
"PODXL",-1.60192451965631,3.91156167665544,-2.77120495504535,0.0168656170247624,0.999980315117939,-4.23798874144382,"ENSG00000128567"
"LRRC17",-2.12569154900741,1.10665397197806,-2.38671339678013,0.0342596763041476,0.999980315117939,-4.51615010984729,"ENSG00000128606"
"ISLR",-1.75083806928495,0.270357080832763,-2.08984013787577,0.0584952518046627,0.999980315117939,-4.55506037386299,"ENSG00000129009"
"ASS1",-2.14951801501586,0.836608557430123,-1.27139290087973,0.227579132124984,0.999980315117939,-4.58410164409555,"ENSG00000130707"
"POLN",-1.38276928577592,-2.11540135156512,-1.03220948149064,0.322244652155389,0.999980315117939,-4.59488889578244,"ENSG00000130997"
"ANO1",-1.38213433350822,-2.17446355102959,-0.956699135998433,0.357518090512322,0.999980315117939,-4.59544977152698,"ENSG00000131620"
"CLUHP3",-1.11932946595742,0.20223468133057,-0.678131140913091,0.510499750273801,0.999980315117939,-4.60460008904888,"ENSG00000131797"
"EMILIN2",-1.07545522846615,0.92504009471445,-0.522562918498943,0.610750538105092,0.999980315117939,-4.61546932278245,"ENSG00000132205"
